age,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
36,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States
45,9, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States
23,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,38, United-States
37,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States
38,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
27,10, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States
29,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States
45,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
41,9, Married-civ-spouse, Sales, Husband, White, Male,0,1887,55, United-States
38,10, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States
27,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
51,10, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, ?
44,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
33,14, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Nicaragua
28,9, Married-civ-spouse, Sales, Husband, Black, Male,99999,0,40, United-States
32,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
43,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
45,9, Divorced, Other-service, Own-child, Black, Female,0,0,40, United-States
52,12, Married-civ-spouse, Other-service, Husband, White, Male,7298,0,40, United-States
24,9, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States
19,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States
47,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
53,16, Divorced, Exec-managerial, Not-in-family, White, Male,14084,0,50, United-States
31,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
30,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
56,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
49,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
38,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
19,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,18, United-States
39,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
38,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
47,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States
58,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
27,9, Never-married, Transport-moving, Not-in-family, Black, Male,2174,0,40, United-States
59,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
24,13, Never-married, Sales, Not-in-family, White, Male,0,0,47, United-States
42,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2407,0,40, United-States
53,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
35,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
36,9, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, China
26,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
33,5, Separated, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States
29,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
43,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
35,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States
48,13, Married-spouse-absent, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,36, Philippines
45,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
43,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
27,5, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States
21,4, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
63,9, Widowed, ?, Not-in-family, White, Female,0,0,4, United-States
39,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States
52,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,55, United-States
41,13, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States
48,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,70, United-States
27,7, Divorced, ?, Unmarried, White, Female,0,0,35, United-States
53,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,1092,40, United-States
33,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
37,6, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States
18,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States
43,16, Separated, Prof-specialty, Unmarried, Black, Female,0,0,24, United-States
20,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
47,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
36,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States
41,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,45, United-States
67,4, Married-civ-spouse, Craft-repair, Husband, White, Male,1797,0,40, United-States
38,13, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,0,0,40, Dominican-Republic
47,14, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,25, United-States
39,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
34,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1485,35, ?
36,9, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States
24,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States
50,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,84, United-States
21,9, Never-married, Other-service, Not-in-family, White, Female,1055,0,30, United-States
21,5, Never-married, Other-service, Own-child, White, Female,0,0,50, Mexico
40,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
19,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States
38,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
34,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
44,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States
20,12, Never-married, Sales, Own-child, White, Female,0,0,25, United-States
44,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,1564,55, England
49,9, Divorced, Adm-clerical, Not-in-family, White, Female,594,0,10, United-States
45,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
24,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
34,9, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States
58,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States
39,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
22,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
38,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,32, United-States
32,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States
45,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,48, United-States
23,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,45, United-States
35,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
52,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
55,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
23,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States
22,13, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,2885,0,25, United-States
27,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
24,12, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States
21,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
49,13, Divorced, Sales, Other-relative, White, Female,0,0,35, United-States
32,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
64,10, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States
37,9, Never-married, Farming-fishing, Unmarried, White, Male,0,0,50, United-States
61,4, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Guatemala
44,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States
53,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States
43,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States
60,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States
23,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
25,14, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico
29,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
51,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,55, England
47,2, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,0,0,12, Mexico
20,9, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
25,7, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, Poland
27,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
23,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
18,9, Never-married, Other-service, Own-child, White, Female,0,0,27, United-States
23,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,32, United-States
59,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States
46,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States
66,4, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States
46,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,38, United-States
36,7, Never-married, Other-service, Unmarried, White, Female,0,0,23, United-States
44,9, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States
17,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States
27,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States
32,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
53,9, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States
22,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,98, United-States
30,12, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States
47,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2002,30, United-States
68,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
39,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
22,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
62,4, Married-civ-spouse, ?, Husband, White, Male,6418,0,40, United-States
20,9, Never-married, Sales, Own-child, White, Female,0,0,35, United-States
21,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,38, Jamaica
34,11, Never-married, Other-service, Not-in-family, White, Male,0,0,50, ?
30,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,75, United-States
25,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
23,9, Never-married, Other-service, Own-child, White, Female,0,0,21, United-States
40,13, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,40, United-States
26,9, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States
57,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
36,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
43,10, Divorced, ?, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States
49,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
58,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
32,10, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States
59,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States
42,13, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States
37,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Iran
40,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States
47,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
56,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
30,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
42,9, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,35, United-States
21,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
21,9, Married-spouse-absent, Machine-op-inspct, Own-child, White, Female,0,0,40, Dominican-Republic
47,9, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States
22,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States
35,12, Never-married, Adm-clerical, Not-in-family, White, Female,14344,0,40, United-States
41,7, Never-married, Handlers-cleaners, Other-relative, Black, Female,0,0,40, United-States
43,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,53, United-States
60,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
73,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States
90,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, England
62,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States
28,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
45,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
19,9, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States
30,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States
19,8, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,52, United-States
23,10, Never-married, Other-service, Own-child, Black, Male,2202,0,80, United-States
22,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, United-States
19,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,28, United-States
45,12, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,2080,40, Philippines
26,9, Never-married, Other-service, Unmarried, Black, Female,0,0,25, United-States
42,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,99999,0,40, United-States
62,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States
61,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
34,13, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,1564,60, United-States
22,9, Never-married, Other-service, Own-child, White, Female,0,0,53, United-States
56,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
32,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
24,10, Never-married, ?, Unmarried, White, Male,0,0,40, United-States
26,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
32,9, Never-married, Sales, Own-child, Black, Female,0,1669,45, United-States
58,12, Divorced, Adm-clerical, Not-in-family, White, Male,0,1876,40, United-States
25,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States
23,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States
23,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
54,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
28,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States
35,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
30,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States
23,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
42,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States
72,6, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States
21,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
37,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
54,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States
58,14, Divorced, Adm-clerical, Not-in-family, White, Female,0,1980,45, United-States
32,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States
65,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States
22,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, ?
52,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, ?
65,6, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States
33,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States
35,9, Never-married, Machine-op-inspct, Unmarried, White, Male,6497,0,65, United-States
27,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
34,9, Never-married, Other-service, Own-child, Black, Male,0,0,42, United-States
53,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States
23,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal
43,16, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States
58,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,3908,0,40, United-States
38,6, Separated, Adm-clerical, Unmarried, White, Male,0,3770,40, United-States
26,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
60,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
28,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1672,50, United-States
33,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States
29,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
54,16, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States
41,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,36, United-States
63,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States
31,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,27, United-States
23,13, Never-married, Sales, Own-child, Black, Female,0,0,25, United-States
31,10, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,0,0,40, ?
41,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
51,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
59,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
23,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States
24,10, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States
67,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States
65,9, Widowed, ?, Not-in-family, White, Female,0,0,35, United-States
47,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
21,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala
38,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
55,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States
39,14, Divorced, Prof-specialty, Own-child, White, Female,1506,0,40, United-States
24,9, Separated, Other-service, Unmarried, White, Female,0,0,50, Portugal
24,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Thailand
38,10, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States
19,9, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States
32,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
63,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
18,10, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States
36,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
41,13, Divorced, Transport-moving, Own-child, Black, Male,6497,0,40, United-States
57,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
48,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
44,9, Divorced, Sales, Not-in-family, White, Female,0,1504,40, United-States
25,10, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, China
48,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
20,10, Never-married, Sales, Own-child, White, Female,0,0,8, United-States
74,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
44,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
26,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
54,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
39,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States
38,10, Divorced, Adm-clerical, Not-in-family, White, Female,7443,0,40, United-States
18,6, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States
32,14, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, ?
24,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
19,5, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, Mexico
28,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
28,9, Separated, Handlers-cleaners, Not-in-family, Other, Male,0,0,30, United-States
49,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
50,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
63,9, Widowed, Machine-op-inspct, Other-relative, Black, Female,0,0,40, Haiti
58,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States
68,9, Widowed, Other-service, Unmarried, White, Female,0,0,15, United-States
41,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States
21,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States
27,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,50, United-States
24,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
50,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
47,10, Divorced, Other-service, Own-child, White, Female,0,0,44, United-States
64,9, Divorced, ?, Not-in-family, White, Male,8614,0,40, United-States
54,9, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States
28,13, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States
26,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
35,13, Separated, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States
48,9, Married-civ-spouse, Sales, Husband, White, Male,2885,0,15, United-States
50,12, Married-civ-spouse, Sales, Wife, White, Female,3942,0,40, United-States
39,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
46,13, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States
41,10, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,48, United-States
24,4, Married-civ-spouse, Sales, Husband, White, Male,2580,0,40, United-States
57,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
32,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Columbia
41,12, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, India
55,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
41,11, Divorced, ?, Not-in-family, White, Male,0,0,80, United-States
69,4, Divorced, Machine-op-inspct, Unmarried, Black, Female,2964,0,40, United-States
22,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States
45,9, Married-civ-spouse, Other-service, Husband, White, Male,3942,0,40, United-States
33,9, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States
57,10, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States
38,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,65, United-States
40,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
48,10, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States
38,10, Married-spouse-absent, Exec-managerial, Unmarried, Black, Female,0,0,35, United-States
26,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States
24,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States
