age,workclass,fnlwgt,education,native-country
33, Private,150570, Bachelors, United-States
31, ?,505438, HS-grad, Mexico
37, Private,179731, HS-grad, United-States
53, Private,122109, HS-grad, United-States
28, Local-gov,163942, Some-college, United-States
33, Private,106670, Bachelors, United-States
41, Private,123403, HS-grad, United-States
61, Self-emp-inc,119986, Bachelors, United-States
25, Private,66622, Some-college, United-States
20, ?,40060, Some-college, United-States
35, Private,260578, HS-grad, United-States
64, Local-gov,96076, Assoc-voc, United-States
28, Private,70604, HS-grad, United-States
39, Self-emp-not-inc,230329, Some-college, United-States
53, Private,49715, HS-grad, United-States
28, Private,116531, HS-grad, United-States
38, Federal-gov,214542, Some-college, United-States
25, Local-gov,335005, Bachelors, Italy
19, Private,258633, Some-college, United-States
20, Private,203240, Assoc-acdm, United-States
27, Private,104457, Bachelors, ?
55, Local-gov,99131, HS-grad, United-States
52, State-gov,125796, Masters, United-States
21, ?,479482, Some-college, United-States
30, Private,167790, HS-grad, United-States
47, Private,133758, HS-grad, United-States
22, Private,106843, 10th, United-States
24, Private,117959, HS-grad, United-States
26, Private,174921, Bachelors, United-States
27, Private,134152, HS-grad, United-States
57, Private,99364, 9th, Puerto-Rico
18, Local-gov,155905, Masters, United-States
30, Private,467108, Bachelors, United-States
34, Self-emp-not-inc,304622, Bachelors, United-States
40, Private,198692, Some-college, United-States
60, Private,178050, HS-grad, United-States
25, Private,162687, 12th, United-States
39, Private,113151, Bachelors, United-States
48, Private,158924, HS-grad, United-States
27, Self-emp-not-inc,141795, Some-college, United-States
33, Self-emp-not-inc,33404, HS-grad, United-States
65, Self-emp-inc,178771, HS-grad, United-States
52, Private,168553, HS-grad, United-States
27, Private,110648, Bachelors, United-States
32, Private,151053, Some-college, United-States
45, Self-emp-not-inc,142871, Some-college, United-States
18, ?,343161, 11th, United-States
27, Private,183523, Bachelors, United-States
57, Self-emp-not-inc,222216, Some-college, United-States
44, Private,121874, Some-college, United-States
30, Private,467108, Masters, United-States
26, Private,34393, Some-college, United-States
28, Federal-gov,42003, Some-college, United-States
61, Private,180418, HS-grad, United-States
49, Self-emp-not-inc,199590, HS-grad, Mexico
33, Private,144949, Masters, United-States
50, Private,155594, Assoc-acdm, United-States
53, Self-emp-not-inc,162576, 7th-8th, United-States
33, Private,232475, HS-grad, United-States
22, Private,269474, Some-college, United-States
45, Local-gov,140644, Bachelors, United-States
26, ?,39640, Some-college, United-States
50, ?,346014, 7th-8th, United-States
47, Self-emp-not-inc,159726, HS-grad, United-States
52, Federal-gov,290856, Bachelors, United-States
57, Private,217886, HS-grad, United-States
21, ?,199915, Some-college, United-States
58, Private,106546, HS-grad, United-States
50, Local-gov,220640, Masters, United-States
33, Federal-gov,88913, Some-college, United-States
34, Self-emp-not-inc,288486, 11th, United-States
20, Private,227411, Some-college, United-States
37, Local-gov,99935, Masters, United-States
57, Private,201112, Assoc-acdm, United-States
57, Self-emp-not-inc,123778, HS-grad, United-States
21, Private,204596, Assoc-acdm, United-States
40, Private,190290, Some-college, United-States
23, Private,196674, Some-college, United-States
54, Private,108435, HS-grad, United-States
38, Private,186359, Some-college, United-States
32, Private,137076, Some-college, United-States
22, State-gov,262819, Some-college, United-States
27, Private,171655, HS-grad, United-States
42, Private,183319, 5th-6th, El-Salvador
36, Private,127306, HS-grad, United-States
22, Private,68678, HS-grad, United-States
40, State-gov,140108, 9th, United-States
26, Private,263444, HS-grad, United-States
46, State-gov,265554, HS-grad, United-States
28, Private,410216, 11th, United-States
46, State-gov,20534, Bachelors, United-States
55, Private,188917, HS-grad, United-States
76, Private,98695, Some-college, United-States
27, Private,411950, Bachelors, United-States
50, Private,237819, HS-grad, United-States
75, Private,187424, HS-grad, United-States
42, Federal-gov,198316, Masters, United-States
36, Local-gov,139703, Masters, United-States
51, Private,152596, HS-grad, United-States
43, Private,194726, Prof-school, United-States
44, Private,82601, Bachelors, United-States
20, ?,229843, Some-college, United-States
60, Private,122276, 5th-6th, Italy
47, State-gov,188386, Bachelors, United-States
73, Private,92298, 11th, United-States
27, Private,390657, HS-grad, United-States
50, Private,89041, HS-grad, United-States
35, Private,314897, 7th-8th, Puerto-Rico
31, Private,166343, HS-grad, ?
45, Private,88781, Bachelors, Germany
57, Private,41762, HS-grad, South
34, Private,849857, HS-grad, Nicaragua
19, Private,307496, Some-college, United-States
25, Private,324372, HS-grad, United-States
39, Private,99270, Bachelors, Germany
28, Private,160731, HS-grad, Poland
48, State-gov,148306, Masters, United-States
38, Private,259019, HS-grad, United-States
53, Private,224894, 5th-6th, Haiti
19, Private,258470, HS-grad, United-States
41, Private,197919, HS-grad, United-States
23, Private,213719, Assoc-acdm, United-States
32, Private,226535, HS-grad, United-States
35, Private,146042, Some-college, United-States
21, Private,180339, Assoc-voc, United-States
24, Private,99970, Bachelors, United-States
34, Private,300687, HS-grad, United-States
29, Local-gov,219906, Bachelors, United-States
24, Private,122234, Some-college, ?
55, Private,158641, HS-grad, United-States
28, Private,239539, HS-grad, Philippines
46, Local-gov,102308, HS-grad, United-States
38, Private,186934, HS-grad, United-States
29, Private,234447, Some-college, United-States
35, Private,125933, Bachelors, United-States
29, Private,142760, HS-grad, United-States
41, State-gov,309056, Doctorate, United-States
40, Self-emp-not-inc,48859, HS-grad, United-States
30, Private,110594, HS-grad, United-States
72, Private,426562, 11th, United-States
17, Private,169037, 11th, United-States
46, Self-emp-inc,123075, HS-grad, United-States
38, Private,195744, Bachelors, United-States
36, Private,81896, Bachelors, United-States
24, Self-emp-not-inc,172047, Assoc-acdm, United-States
28, Private,253814, HS-grad, United-States
28, Private,66473, HS-grad, United-States
60, ?,56248, HS-grad, United-States
42, Local-gov,271521, Some-college, United-States
48, Private,265295, Bachelors, United-States
37, Self-emp-not-inc,174308, HS-grad, United-States
32, Private,196342, Doctorate, United-States
55, Private,223594, Some-college, Puerto-Rico
30, Private,149787, Some-college, United-States
68, Private,124686, 7th-8th, United-States
45, Private,50163, HS-grad, United-States
26, Private,175789, HS-grad, United-States
22, Private,218215, Some-college, United-States
22, Private,166371, Some-college, United-States
36, Private,169469, Some-college, United-States
52, Private,145081, 7th-8th, United-States
68, Private,214521, Prof-school, United-States
26, Local-gov,287233, Bachelors, United-States
52, Private,201310, Bachelors, ?
46, Self-emp-not-inc,197836, HS-grad, United-States
53, Private,158294, Masters, United-States
17, Private,127366, 11th, United-States
29, Private,203697, Bachelors, United-States
41, Private,168730, Some-college, United-States
45, Private,165232, Some-college, Trinadad&Tobago
57, Private,175942, Some-college, United-States
30, Federal-gov,356689, Bachelors, Japan
46, Private,132912, HS-grad, United-States
45, Private,187226, Assoc-acdm, United-States
59, ?,254765, Some-college, United-States
40, Private,202565, Assoc-acdm, United-States
38, State-gov,103925, HS-grad, United-States
22, Private,112164, Some-college, ?
59, Self-emp-not-inc,70623, 7th-8th, United-States
36, Private,102729, Some-college, United-States
40, Private,558944, 7th-8th, United-States
18, Private,256967, 10th, United-States
62, ?,144583, HS-grad, United-States
63, Private,102412, HS-grad, United-States
29, Private,159788, Masters, United-States
27, Private,55743, Bachelors, United-States
47, State-gov,148171, Doctorate, France
20, Local-gov,271354, HS-grad, United-States
48, Private,98524, Assoc-acdm, United-States
29, Private,272913, HS-grad, Mexico
22, Private,324445, HS-grad, United-States
42, Private,155469, Assoc-acdm, United-States
36, Private,102945, Assoc-voc, United-States
60, Private,291904, 10th, United-States
41, Federal-gov,186601, HS-grad, United-States
43, Private,172401, HS-grad, United-States
33, Private,193285, Bachelors, United-States
34, Private,176244, 7th-8th, United-States
32, Private,117779, HS-grad, United-States
22, ?,34616, Some-college, United-States
52, Private,169182, 9th, Puerto-Rico
27, Private,180758, Assoc-acdm, United-States
60, Local-gov,141637, Masters, United-States
41, Self-emp-not-inc,169023, Bachelors, United-States
34, Self-emp-not-inc,101266, Bachelors, United-States
30, Private,164190, HS-grad, United-States
35, Private,142282, Some-college, United-States
39, Federal-gov,103984, Bachelors, United-States
64, Private,187601, Some-college, United-States
17, Self-emp-not-inc,36218, 11th, United-States
29, State-gov,106334, Masters, ?
37, Local-gov,249392, Assoc-voc, United-States
43, Self-emp-not-inc,110355, HS-grad, United-States
30, Self-emp-not-inc,117944, HS-grad, United-States
17, Private,163836, 10th, United-States
29, Private,145592, HS-grad, Guatemala
24, Private,108495, Some-college, India
27, Self-emp-not-inc,212041, Bachelors, United-States
69, Self-emp-inc,182451, Bachelors, United-States
30, Private,124020, HS-grad, United-States
29, Private,199116, HS-grad, Puerto-Rico
17, ?,144114, 10th, United-States
61, Private,107438, 7th-8th, United-States
70, Private,405362, 7th-8th, United-States
32, Private,175856, Bachelors, United-States
21, ?,262241, HS-grad, United-States
27, Self-emp-not-inc,420054, HS-grad, United-States
27, Private,86681, Bachelors, United-States
19, Private,187161, Some-college, United-States
44, State-gov,691903, Masters, United-States
36, Private,219483, Some-college, United-States
45, Private,199058, Masters, United-States
29, Private,192010, Bachelors, Poland
34, Federal-gov,419691, Bachelors, United-States
28, Local-gov,356089, Bachelors, United-States
34, Private,684015, 5th-6th, El-Salvador
18, Private,36882, HS-grad, United-States
39, Private,203180, Some-college, United-States
34, Private,183811, Some-college, United-States
35, Local-gov,103966, Masters, United-States
24, Private,304602, HS-grad, United-States
41, Private,57233, Bachelors, United-States
50, State-gov,289207, Doctorate, United-States
68, Private,224019, Some-college, United-States
35, Private,267966, 11th, United-States
47, Private,214800, Assoc-voc, United-States
43, Local-gov,241528, Masters, United-States
35, Private,197365, HS-grad, United-States
34, Private,296724, Some-college, United-States
26, Private,136226, HS-grad, United-States
50, Private,40623, Some-college, United-States
22, Private,264874, HS-grad, United-States
20, Private,112847, HS-grad, United-States
18, ?,236090, HS-grad, United-States
52, Self-emp-not-inc,89028, HS-grad, United-States
71, State-gov,210673, HS-grad, United-States
55, Private,60193, HS-grad, United-States
17, Private,216137, 11th, United-States
36, Private,139743, Some-college, United-States
25, ?,32276, Bachelors, United-States
39, Local-gov,423605, 12th, Nicaragua
27, Private,298871, Bachelors, Philippines
42, Private,318255, HS-grad, United-States
22, Private,347867, HS-grad, United-States
57, Private,279636, Assoc-voc, United-States
34, Private,405386, Some-college, United-States
31, Private,297188, Masters, United-States
24, Private,182342, Bachelors, United-States
41, Self-emp-not-inc,229148, HS-grad, Jamaica
30, Private,189620, Some-college, England
17, Private,413557, 11th, United-States
26, Self-emp-inc,246025, HS-grad, Honduras
32, Private,390997, 1st-4th, Mexico
55, Private,102058, 10th, United-States
19, Private,247298, 12th, United-States
28, Private,140108, Masters, United-States
55, ?,216941, HS-grad, United-States
49, Private,81654, Prof-school, United-States
23, Private,177526, Bachelors, United-States
43, Private,64631, HS-grad, United-States
40, Private,110028, Some-college, United-States
41, Private,203761, Bachelors, United-States
23, Private,163870, Some-college, United-States
59, Federal-gov,117299, HS-grad, United-States
20, Private,50648, HS-grad, United-States
21, Private,166517, HS-grad, United-States
28, ?,173800, Bachelors, Taiwan
44, Self-emp-inc,181762, Some-college, United-States
31, Self-emp-not-inc,340880, Bachelors, United-States
50, Self-emp-not-inc,114758, Bachelors, United-States
54, Private,138847, HS-grad, United-States
28, Private,215014, HS-grad, United-States
34, Private,183778, HS-grad, United-States
46, Private,273629, Masters, United-States
28, Self-emp-inc,113870, Bachelors, United-States
23, Private,213955, HS-grad, United-States
29, Private,114982, Bachelors, United-States
35, Private,205338, HS-grad, United-States
41, Self-emp-not-inc,57924, Some-college, United-States
90, ?,225063, Some-college, South
35, Self-emp-not-inc,202027, Masters, United-States
20, Private,281356, HS-grad, United-States
42, Private,30824, Masters, United-States
56, Private,98809, 7th-8th, United-States
31, Private,38223, Bachelors, United-States
23, Private,172232, HS-grad, United-States
60, Private,140544, HS-grad, United-States
28, Private,221366, Some-college, United-States
32, Private,180799, Some-college, United-States
36, Private,111499, Masters, United-States
44, Self-emp-not-inc,155930, Bachelors, United-States
34, Private,201122, Some-college, United-States
27, Private,101709, HS-grad, United-States
49, Private,140121, HS-grad, United-States
48, Private,172709, HS-grad, United-States
47, Private,120131, HS-grad, United-States
34, Private,117444, Bachelors, United-States
27, Private,256764, Assoc-acdm, United-States
31, Local-gov,176185, Bachelors, ?
24, Private,223811, Some-college, United-States
24, Private,201603, HS-grad, United-States
25, Private,138765, Some-college, United-States
36, Private,133974, Assoc-voc, United-States
38, Federal-gov,137953, HS-grad, United-States
57, Private,103403, 5th-6th, United-States
24, Private,461678, Some-college, United-States
41, State-gov,70884, HS-grad, United-States
56, State-gov,466498, Assoc-voc, United-States
19, Private,148644, HS-grad, United-States
44, Private,190739, HS-grad, United-States
34, Private,299507, Assoc-voc, United-States
25, Private,211424, Bachelors, United-States
27, State-gov,106721, HS-grad, United-States
22, Private,192017, HS-grad, United-States
59, Private,530099, Some-college, United-States
34, Private,119153, 11th, United-States
30, Private,202450, HS-grad, United-States
21, Private,50341, Some-college, United-States
24, Private,140001, Some-college, Italy
19, ?,220517, Some-college, United-States
82, ?,52921, Some-college, United-States
35, Private,31964, Bachelors, United-States
32, Private,148207, Assoc-voc, United-States
45, Private,151627, Some-college, United-States
30, Private,402539, HS-grad, United-States
28, Self-emp-not-inc,188278, Bachelors, United-States
28, Self-emp-not-inc,96219, Bachelors, United-States
29, Private,340534, HS-grad, United-States
60, Private,160339, Some-college, Columbia
28, Private,120135, Assoc-voc, United-States
38, Federal-gov,303817, Some-college, United-States
31, Private,181091, HS-grad, United-States
28, Private,200515, Some-college, United-States
42, Private,160893, Some-college, United-States
40, Local-gov,183096, 9th, Yugoslavia
24, Private,241367, Some-college, United-States
37, Self-emp-inc,342084, Some-college, United-States
36, Private,193855, HS-grad, United-States
39, Private,80410, Bachelors, United-States
22, Private,554317, 9th, Mexico
46, Private,85109, Some-college, United-States
28, Private,108569, Bachelors, United-States
34, Private,120959, Some-college, United-States
42, Private,222011, Some-college, United-States
43, Private,238530, HS-grad, United-States
35, Private,48404, HS-grad, United-States
60, Private,88055, Prof-school, United-States
33, Private,238381, Some-college, United-States
22, Private,243923, HS-grad, United-States
39, Private,305597, Assoc-voc, United-States
33, Private,141841, Bachelors, United-States
39, Private,129764, HS-grad, United-States
37, Self-emp-not-inc,150993, 11th, United-States
63, Self-emp-not-inc,147140, 7th-8th, United-States
46, State-gov,30219, Some-college, United-States
48, Private,167967, HS-grad, United-States
33, Private,133278, HS-grad, United-States
65, Private,172510, Some-college, Hungary
39, Private,192251, HS-grad, United-States
43, Private,210844, Bachelors, United-States
28, Private,263015, 10th, United-States
50, Self-emp-not-inc,155118, HS-grad, United-States
24, State-gov,232918, Bachelors, United-States
48, Private,143542, HS-grad, United-States
35, Private,45607, Some-college, United-States
62, Private,29828, HS-grad, United-States
42, Self-emp-not-inc,104118, Some-college, United-States
60, Private,191446, HS-grad, United-States
50, Private,27484, HS-grad, United-States
40, Private,205987, Prof-school, Cuba
39, Local-gov,143385, HS-grad, United-States
43, ?,200508, Bachelors, United-States
43, Local-gov,186995, HS-grad, United-States
35, Private,54159, HS-grad, United-States
39, Private,113481, Bachelors, United-States
30, Local-gov,235271, Bachelors, United-States
32, Private,349365, Some-college, United-States
18, Private,283637, Some-college, United-States
37, Private,70282, Assoc-acdm, United-States
26, Private,166051, Bachelors, United-States
51, Private,193720, HS-grad, United-States
35, ?,124836, Some-college, United-States
33, Private,236379, Bachelors, United-States
46, Private,122026, Bachelors, United-States
40, Private,114537, Assoc-voc, United-States
34, Private,191834, Assoc-voc, United-States
29, Private,420054, HS-grad, United-States
47, Self-emp-not-inc,160045, Some-college, United-States
34, Private,303187, Bachelors, ?
45, Private,190088, HS-grad, United-States
53, Private,126977, HS-grad, United-States
52, Self-emp-not-inc,63004, Masters, Philippines
64, Private,391121, 7th-8th, United-States
42, Private,211450, Masters, United-States
44, Private,156413, Some-college, United-States
41, Private,116797, HS-grad, United-States
53, Local-gov,204447, Masters, United-States
25, Private,66935, HS-grad, United-States
20, Private,344278, 11th, United-States
29, Private,108574, Assoc-voc, United-States
56, Private,244605, HS-grad, United-States
45, Private,363677, Doctorate, United-States
56, Private,219762, HS-grad, United-States
38, Self-emp-inc,269318, Some-college, United-States
62, Private,77884, HS-grad, Philippines
28, Self-emp-not-inc,70100, Bachelors, United-States
31, Private,213643, HS-grad, United-States
24, Private,69640, Bachelors, United-States
65, Private,170012, Bachelors, United-States
40, Private,329924, HS-grad, United-States
31, Private,193285, Bachelors, United-States
35, Private,261241, HS-grad, United-States
42, Federal-gov,108183, Masters, South
20, Private,296618, HS-grad, United-States
30, Local-gov,257796, Some-college, United-States
25, Private,155320, Bachelors, United-States
22, Private,151888, HS-grad, United-States
65, ?,143118, HS-grad, United-States
31, Private,66278, Some-college, United-States
56, Private,92444, Some-college, United-States
51, Private,229272, HS-grad, Haiti
36, Self-emp-not-inc,207202, 10th, United-States
44, State-gov,154176, Some-college, United-States
49, Private,180899, Masters, United-States
28, Private,205337, HS-grad, United-States
57, Private,180779, Bachelors, United-States
33, Self-emp-not-inc,343021, Some-college, United-States
49, Private,176814, Bachelors, United-States
74, State-gov,88638, Doctorate, United-States
48, Private,248059, Bachelors, United-States
38, Private,409604, Bachelors, United-States
39, Private,185053, HS-grad, United-States
46, Private,332884, Bachelors, United-States
56, Private,212864, Bachelors, United-States
27, Private,66473, Bachelors, United-States
17, Private,285169, 11th, United-States
28, Private,175431, 9th, United-States
18, ?,152641, 10th, United-States
42, Private,339346, Masters, United-States
39, Private,287306, Some-college, United-States
29, Self-emp-not-inc,70604, HS-grad, United-States
21, Private,88926, Some-college, United-States
36, Private,91275, Some-college, United-States
56, Private,244554, 10th, United-States
49, Private,232586, 5th-6th, United-States
47, Self-emp-inc,127678, Some-college, United-States
44, Private,162184, Some-college, United-States
40, Private,408229, 1st-4th, El-Salvador
43, State-gov,139734, Bachelors, United-States
62, Private,197286, 12th, Germany
52, Private,229983, Prof-school, United-States
25, Private,252803, HS-grad, United-States
63, Self-emp-inc,110890, Masters, United-States
51, Private,160724, Doctorate, South
25, Private,89625, HS-grad, United-States
62, ?,266037, Some-college, United-States
27, Private,126730, HS-grad, United-States
48, Federal-gov,96854, Some-college, United-States
32, Private,186788, HS-grad, United-States
36, Private,28996, Some-college, United-States
30, Self-emp-not-inc,347166, HS-grad, United-States
45, State-gov,110311, Masters, United-States
27, Private,310850, HS-grad, United-States
41, Private,220694, Bachelors, United-States
61, Private,149405, HS-grad, United-States
70, Self-emp-inc,131699, Bachelors, United-States
55, Private,49996, 11th, United-States
35, Private,187112, Bachelors, United-States
36, Private,180859, Assoc-voc, United-States
29, Private,185647, Some-college, United-States
30, Private,316606, Bachelors, United-States
45, Private,274657, 11th, ?
39, Federal-gov,193583, Bachelors, United-States
18, Private,338836, HS-grad, United-States
28, Private,216814, HS-grad, United-States
27, Private,106935, Bachelors, United-States
38, Private,223433, HS-grad, United-States
33, Private,174789, HS-grad, United-States
25, Private,135603, HS-grad, United-States
25, ?,344719, HS-grad, United-States
38, Private,372484, 11th, United-States
23, Private,181820, Some-college, United-States
40, Private,235371, Assoc-voc, United-States
36, Self-emp-inc,216711, HS-grad, ?
20, Private,299399, Some-college, United-States
41, Private,202508, HS-grad, United-States
44, Private,172025, Some-college, United-States
49, Self-emp-inc,246891, Bachelors, United-States
22, Private,450920, Assoc-acdm, United-States
26, Private,53598, Some-college, United-States
47, Private,103757, Assoc-acdm, United-States
48, Private,76017, HS-grad, United-States
28, Self-emp-inc,80158, HS-grad, United-States
37, Federal-gov,90881, Some-college, United-States
44, Private,427952, Bachelors, United-States
20, ?,230955, 12th, United-States
53, Private,177916, Bachelors, United-States
36, Private,342642, Masters, United-States
77, Private,253642, 7th-8th, United-States
21, Private,219086, HS-grad, United-States
24, Private,162593, Bachelors, United-States
30, Private,87561, Assoc-acdm, United-States
51, Local-gov,142411, Assoc-voc, United-States
22, Private,154422, Some-college, Philippines
23, Private,169104, Some-college, United-States
47, Private,193047, Doctorate, United-States
17, Private,151141, 12th, United-States
48, Private,267912, Bachelors, Mexico
43, Private,137126, Some-college, United-States
34, Private,152453, 12th, Guatemala
19, Private,357059, HS-grad, United-States
42, State-gov,202011, Some-college, United-States
23, Private,98283, Bachelors, United-States
61, Self-emp-not-inc,176965, Prof-school, United-States
63, Private,187919, 11th, United-States
65, Private,274916, HS-grad, United-States
37, Private,105813, Assoc-voc, United-States
41, Local-gov,193524, Assoc-acdm, United-States
35, Private,152734, Some-college, ?
21, Private,263641, HS-grad, United-States
48, Local-gov,102076, Bachelors, United-States
51, State-gov,155594, Some-college, United-States
43, Private,33331, Bachelors, United-States
22, State-gov,156773, Some-college, ?
56, Self-emp-not-inc,115439, Some-college, United-States
47, Private,181652, HS-grad, United-States
26, Private,120268, Bachelors, United-States
39, Private,196308, Some-college, United-States
45, Self-emp-not-inc,40690, Some-college, United-States
49, Private,228583, HS-grad, Columbia
23, Private,695136, HS-grad, United-States
69, Private,209236, HS-grad, United-States
41, Federal-gov,214838, Masters, United-States
40, Self-emp-not-inc,188436, HS-grad, United-States
25, Private,177625, HS-grad, United-States
52, Private,124591, HS-grad, United-States
28, Private,230856, Some-college, United-States
50, Federal-gov,221532, Assoc-acdm, United-States
21, Private,232577, Assoc-voc, United-States
48, Private,168216, Some-college, United-States
27, Private,214702, Prof-school, United-States
63, Private,237620, HS-grad, United-States
47, State-gov,54887, Doctorate, United-States
37, Self-emp-not-inc,164526, Doctorate, United-States
28, Private,224506, Some-college, ?
58, Private,183870, HS-grad, United-States
41, Private,208330, Some-college, United-States
67, Self-emp-inc,168370, Some-college, United-States
62, Self-emp-not-inc,320376, HS-grad, United-States
28, Private,192384, Some-college, United-States
26, Private,167350, 12th, United-States
46, Self-emp-not-inc,103538, Prof-school, United-States
29, Private,58522, HS-grad, United-States
39, Private,191342, Bachelors, Philippines
25, Private,193820, Masters, United-States
20, Private,258490, Some-college, United-States
21, Private,56520, Some-college, United-States
25, Private,102476, Bachelors, United-States
44, Self-emp-inc,311357, Prof-school, United-States
37, Private,166497, HS-grad, United-States
50, Private,160724, Masters, Philippines
29, Private,338270, HS-grad, United-States
18, Private,282394, Some-college, United-States
32, Private,383269, Bachelors, United-States
58, Private,119386, Assoc-voc, United-States
50, Private,196975, HS-grad, United-States
29, Private,334221, Some-college, United-States
58, Private,27385, HS-grad, United-States
29, State-gov,133846, Some-college, United-States
36, Private,361888, HS-grad, United-States
21, Private,230429, HS-grad, United-States
49, Private,328776, HS-grad, United-States
60, Private,243829, Masters, United-States
39, Private,306646, Some-college, United-States
50, Private,138179, Assoc-acdm, United-States
30, Private,280069, Some-college, United-States
55, Private,305759, HS-grad, ?
64, Local-gov,164876, HS-grad, United-States
29, Self-emp-inc,138597, Assoc-acdm, United-States
40, Private,111483, Bachelors, United-States
42, Private,144778, HS-grad, United-States
55, Private,171015, HS-grad, United-States
43, Private,112494, HS-grad, United-States
28, Private,408473, 12th, United-States
46, State-gov,27802, Assoc-acdm, United-States
34, Private,236318, HS-grad, United-States
47, Private,121836, Masters, United-States
43, Self-emp-not-inc,315971, Masters, United-States
24, Private,698418, Some-college, United-States
21, Private,329530, 11th, Mexico
65, Private,194456, Bachelors, England
20, Private,282579, Some-college, United-States
31, State-gov,26401, Masters, United-States
38, State-gov,364958, HS-grad, United-States
22, Private,83998, Some-college, United-States
20, Private,94364, Some-college, United-States
44, Private,174189, Some-college, United-States
44, Local-gov,101967, Masters, United-States
41, Private,146908, Doctorate, United-States
38, Private,126675, HS-grad, United-States
21, Private,31606, Some-college, Germany
24, Private,132327, Some-college, Ecuador
24, Private,112459, Masters, United-States
28, Private,48894, HS-grad, United-States
39, Private,181943, Bachelors, United-States
48, Private,247685, Some-college, United-States
24, Local-gov,195808, HS-grad, United-States
50, Private,172052, HS-grad, South
50, Local-gov,50178, Some-college, United-States
68, Private,351711, Some-college, United-States
31, State-gov,190305, Masters, United-States
22, Private,464103, 1st-4th, Guatemala
18, ?,36348, Some-college, United-States
25, Private,120238, HS-grad, Poland
28, Private,354095, Some-college, United-States
17, Local-gov,308901, 11th, United-States
24, State-gov,208826, Doctorate, England
20, Private,369677, 10th, United-States
45, Federal-gov,98524, Assoc-acdm, United-States
44, Private,239723, Some-college, United-States
57, Private,231232, 7th-8th, United-States
33, Private,236396, Bachelors, United-States
24, ?,119156, Bachelors, United-States
22, Private,320451, Some-college, India
41, Private,38397, HS-grad, United-States
